Task/Step,Start Date,End Date,Status,Duration,Average Time
Reconciliation for IBM PVU,4/4/2019 8:24:50 pm,4/4/2019 8:24:51 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 7:54:53 pm,4/4/2019 7:54:54 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 7:24:50 pm,4/4/2019 7:24:51 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 6:54:47 pm,4/4/2019 6:54:48 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 6:24:44 pm,4/4/2019 6:24:46 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/4/2019 5:54:47 pm,4/4/2019 5:54:49 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/4/2019 5:24:44 pm,4/4/2019 5:24:45 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 4:54:42 pm,4/4/2019 4:54:43 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 4:24:44 pm,4/4/2019 4:24:45 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 3:54:41 pm,4/4/2019 3:54:43 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/4/2019 3:24:38 pm,4/4/2019 3:24:40 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/4/2019 2:54:40 pm,4/4/2019 2:54:42 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/4/2019 2:24:37 pm,4/4/2019 2:24:39 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/4/2019 1:54:35 pm,4/4/2019 1:54:36 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 1:24:37 pm,4/4/2019 1:24:38 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 12:54:34 pm,4/4/2019 12:54:35 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 12:24:31 pm,4/4/2019 12:24:32 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 11:54:33 am,4/4/2019 11:54:35 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/4/2019 11:24:31 am,4/4/2019 11:24:32 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 10:54:28 am,4/4/2019 10:54:29 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 10:24:25 am,4/4/2019 10:24:27 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/4/2019 9:54:27 am,4/4/2019 9:54:28 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 9:24:25 am,4/4/2019 9:24:26 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 8:54:22 am,4/4/2019 8:54:23 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 8:24:24 am,4/4/2019 8:24:25 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 7:54:21 am,4/4/2019 7:54:22 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 7:24:20 am,4/4/2019 7:24:24 am,Completed,0:00:04,
Reconciliation for IBM PVU,4/4/2019 6:54:20 am,4/4/2019 6:54:22 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/4/2019 6:24:17 am,4/4/2019 6:24:18 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 5:54:19 am,4/4/2019 5:54:27 am,Completed,0:00:08,
Reconciliation for IBM PVU,4/4/2019 5:24:07 am,4/4/2019 5:24:10 am,Completed,0:00:03,
Reconciliation for IBM PVU,4/4/2019 4:54:15 am,4/4/2019 4:54:18 am,Completed,0:00:03,
Reconciliation for IBM PVU,4/4/2019 4:24:12 am,4/4/2019 4:24:20 am,Completed,0:00:08,
Reconciliation for IBM PVU,4/4/2019 3:54:32 am,4/4/2019 3:54:55 am,Completed,0:00:23,
Reconciliation for IBM PVU,4/4/2019 3:23:46 am,4/4/2019 3:23:47 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 2:53:42 am,4/4/2019 2:53:43 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 2:23:40 am,4/4/2019 2:23:42 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/4/2019 1:53:41 am,4/4/2019 1:53:43 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/4/2019 1:23:39 am,4/4/2019 1:23:40 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/4/2019 12:54:11 am,4/4/2019 12:54:57 am,Completed,0:00:46,
Reconciliation for IBM PVU,4/4/2019 12:23:18 am,4/4/2019 12:23:19 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 11:53:20 pm,4/3/2019 11:53:21 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 11:23:17 pm,4/3/2019 11:23:18 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 10:53:14 pm,4/3/2019 10:53:15 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 10:23:16 pm,4/3/2019 10:23:17 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 9:53:14 pm,4/3/2019 9:53:15 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 9:23:11 pm,4/3/2019 9:23:12 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 8:53:13 pm,4/3/2019 8:53:14 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 8:23:10 pm,4/3/2019 8:23:11 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 7:53:08 pm,4/3/2019 7:53:09 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 7:23:10 pm,4/3/2019 7:23:11 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 6:53:07 pm,4/3/2019 6:53:08 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 6:23:04 pm,4/3/2019 6:23:05 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 5:53:02 pm,4/3/2019 5:53:03 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 5:23:05 pm,4/3/2019 5:23:06 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 4:53:03 pm,4/3/2019 4:53:04 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 4:23:00 pm,4/3/2019 4:23:01 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 3:53:02 pm,4/3/2019 3:53:03 pm,Completed,0:00:01,
