"Task/Step","Task type","Start date","End date","Status","Summary","Logs"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 6:02:05 pm","4/7/2019 6:02:06 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 6:02:05 pm","4/7/2019 6:02:06 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 6:01:58 pm","4/7/2019 6:02:05 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 6:02:04 pm","4/7/2019 6:02:05 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 5:32:07 pm","4/7/2019 5:32:08 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 5:32:07 pm","4/7/2019 5:32:08 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 5:32:00 pm","4/7/2019 5:32:07 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 5:32:06 pm","4/7/2019 5:32:07 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 5:02:04 pm","4/7/2019 5:02:06 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 5:02:05 pm","4/7/2019 5:02:06 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 5:01:57 pm","4/7/2019 5:02:04 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 5:02:03 pm","4/7/2019 5:02:04 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 4:32:02 pm","4/7/2019 4:32:03 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 4:32:02 pm","4/7/2019 4:32:03 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 4:31:55 pm","4/7/2019 4:32:02 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 4:32:01 pm","4/7/2019 4:32:01 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 4:01:59 pm","4/7/2019 4:02:00 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 4:01:59 pm","4/7/2019 4:02:00 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 4:01:52 pm","4/7/2019 4:01:59 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 4:01:58 pm","4/7/2019 4:01:59 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 3:32:01 pm","4/7/2019 3:32:03 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 3:32:02 pm","4/7/2019 3:32:03 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 3:31:54 pm","4/7/2019 3:32:01 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 3:32:00 pm","4/7/2019 3:32:01 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 3:01:59 pm","4/7/2019 3:02:00 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 3:01:59 pm","4/7/2019 3:02:00 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 3:01:51 pm","4/7/2019 3:01:59 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 3:01:57 pm","4/7/2019 3:01:58 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 2:31:56 pm","4/7/2019 2:31:57 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 2:31:56 pm","4/7/2019 2:31:57 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 2:31:49 pm","4/7/2019 2:31:56 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 2:31:55 pm","4/7/2019 2:31:56 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 2:01:59 pm","4/7/2019 2:02:00 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 2:01:59 pm","4/7/2019 2:02:00 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 2:01:52 pm","4/7/2019 2:01:59 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 2:01:58 pm","4/7/2019 2:01:59 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 1:31:55 pm","4/7/2019 1:31:57 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 1:31:56 pm","4/7/2019 1:31:57 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 1:31:48 pm","4/7/2019 1:31:55 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 1:31:54 pm","4/7/2019 1:31:55 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 1:01:53 pm","4/7/2019 1:01:54 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 1:01:53 pm","4/7/2019 1:01:54 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 1:01:45 pm","4/7/2019 1:01:52 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 1:01:51 pm","4/7/2019 1:01:52 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 12:31:55 pm","4/7/2019 12:31:56 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 12:31:55 pm","4/7/2019 12:31:56 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 12:31:47 pm","4/7/2019 12:31:54 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 12:31:53 pm","4/7/2019 12:31:54 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 12:01:52 pm","4/7/2019 12:01:53 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 12:01:52 pm","4/7/2019 12:01:53 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 12:01:44 pm","4/7/2019 12:01:51 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 12:01:50 pm","4/7/2019 12:01:51 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 11:31:49 am","4/7/2019 11:31:50 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 11:31:49 am","4/7/2019 11:31:50 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 11:31:42 am","4/7/2019 11:31:49 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 11:31:48 am","4/7/2019 11:31:48 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 11:01:51 am","4/7/2019 11:01:52 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 11:01:51 am","4/7/2019 11:01:52 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 11:01:44 am","4/7/2019 11:01:51 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 11:01:50 am","4/7/2019 11:01:51 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 10:31:49 am","4/7/2019 10:31:50 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 10:31:49 am","4/7/2019 10:31:50 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 10:31:41 am","4/7/2019 10:31:48 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 10:31:47 am","4/7/2019 10:31:48 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 10:01:46 am","4/7/2019 10:01:47 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 10:01:46 am","4/7/2019 10:01:47 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 10:01:38 am","4/7/2019 10:01:46 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 10:01:44 am","4/7/2019 10:01:45 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 9:31:48 am","4/7/2019 9:31:49 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 9:31:48 am","4/7/2019 9:31:49 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 9:31:41 am","4/7/2019 9:31:48 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 9:31:47 am","4/7/2019 9:31:48 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 9:01:45 am","4/7/2019 9:01:47 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 9:01:46 am","4/7/2019 9:01:47 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 9:01:38 am","4/7/2019 9:01:45 am","Completed","Import completed","No"
