"Task/Step","Task type","Start date","End date","Status","Summary","Logs"
"Import hardware to staging","PVU Import","3/11/2019 2:10:40 pm","3/11/2019 2:10:41 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 1:40:39 pm","3/11/2019 1:40:40 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 1:40:39 pm","3/11/2019 1:40:40 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 1:40:32 pm","3/11/2019 1:40:39 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 1:40:38 pm","3/11/2019 1:40:38 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 1:10:41 pm","3/11/2019 1:10:42 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 1:10:41 pm","3/11/2019 1:10:42 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 1:10:34 pm","3/11/2019 1:10:41 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 1:10:40 pm","3/11/2019 1:10:41 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 12:40:38 pm","3/11/2019 12:40:39 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 12:40:38 pm","3/11/2019 12:40:39 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 12:40:31 pm","3/11/2019 12:40:38 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 12:40:37 pm","3/11/2019 12:40:38 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 12:10:36 pm","3/11/2019 12:10:38 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 12:10:36 pm","3/11/2019 12:10:38 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 12:10:28 pm","3/11/2019 12:10:35 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 12:10:34 pm","3/11/2019 12:10:35 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 11:40:38 am","3/11/2019 11:40:39 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 11:40:38 am","3/11/2019 11:40:39 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 11:40:31 am","3/11/2019 11:40:38 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 11:40:37 am","3/11/2019 11:40:37 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 11:10:35 am","3/11/2019 11:10:36 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 11:10:35 am","3/11/2019 11:10:36 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 11:10:28 am","3/11/2019 11:10:35 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 11:10:34 am","3/11/2019 11:10:35 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 10:40:32 am","3/11/2019 10:40:33 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 10:40:33 am","3/11/2019 10:40:33 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 10:40:25 am","3/11/2019 10:40:32 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 10:40:31 am","3/11/2019 10:40:32 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 10:10:35 am","3/11/2019 10:10:36 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 10:10:35 am","3/11/2019 10:10:36 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 10:10:27 am","3/11/2019 10:10:34 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 10:10:33 am","3/11/2019 10:10:34 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 9:40:32 am","3/11/2019 9:40:33 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 9:40:32 am","3/11/2019 9:40:33 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 9:40:25 am","3/11/2019 9:40:32 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 9:40:31 am","3/11/2019 9:40:31 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 9:10:34 am","3/11/2019 9:10:35 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 9:10:34 am","3/11/2019 9:10:35 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 9:10:27 am","3/11/2019 9:10:34 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 9:10:33 am","3/11/2019 9:10:34 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 8:40:32 am","3/11/2019 8:40:34 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 8:40:32 am","3/11/2019 8:40:34 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 8:40:24 am","3/11/2019 8:40:31 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 8:40:30 am","3/11/2019 8:40:31 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 8:10:30 am","3/11/2019 8:10:33 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 8:10:30 am","3/11/2019 8:10:33 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 8:10:22 am","3/11/2019 8:10:30 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 8:10:28 am","3/11/2019 8:10:30 am","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","3/11/2019 7:55:36 am","3/11/2019 7:56:04 am","Completed","Partial export of applications summary completed successfully","No"
"Exporting","Data warehouse export","3/11/2019 7:55:43 am","3/11/2019 7:56:04 am","Completed","Partial export of applications summary completed successfully","Yes"
"FNMPDataWarehouse","Data warehouse export","3/11/2019 7:40:30 am","3/11/2019 7:41:56 am","Completed","Partial export of applications, licenses, installations summary completed successfully","No"
"Exporting","Data warehouse export","3/11/2019 7:40:36 am","3/11/2019 7:41:56 am","Completed","Partial export of applications, licenses, installations summary completed successfully","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 7:40:27 am","3/11/2019 7:40:28 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 7:40:27 am","3/11/2019 7:40:28 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 7:40:20 am","3/11/2019 7:40:27 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 7:40:26 am","3/11/2019 7:40:27 am","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","3/11/2019 7:27:29 am","3/11/2019 7:27:39 am","Completed","Partial export completed with no changes","No"
"Exporting","Data warehouse export","3/11/2019 7:27:35 am","3/11/2019 7:27:39 am","Completed","Partial export completed with no changes","Yes"
"ARL Import","ARL import","3/11/2019 7:25:19 am","3/11/2019 8:20:15 am","Completed","ARL imported successfully","No"
"ARL importing","ARL import","3/11/2019 7:25:19 am","3/11/2019 8:20:15 am","Completed","ARL imported successfully","No"
"FNMPDataWarehouse","Data warehouse export","3/11/2019 7:25:19 am","3/11/2019 7:27:18 am","Completed","Export completed successfully","No"
"Exporting","Data warehouse export","3/11/2019 7:25:25 am","3/11/2019 7:27:18 am","Completed","Export completed successfully","Yes"
"FNMPDataWarehouse","Data warehouse export","3/11/2019 7:10:27 am","3/11/2019 7:10:55 am","Completed","Partial export of applications, licenses, discovery, inventory summary completed successfully","No"
"Exporting","Data warehouse export","3/11/2019 7:10:33 am","3/11/2019 7:10:55 am","Completed","Partial export of applications, licenses, discovery, inventory summary completed successfully","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 7:10:24 am","3/11/2019 7:10:26 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 7:10:24 am","3/11/2019 7:10:26 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 7:10:17 am","3/11/2019 7:10:24 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 7:10:23 am","3/11/2019 7:10:24 am","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","3/11/2019 6:55:26 am","3/11/2019 6:56:26 am","Completed","Partial export of applications, licenses, installations summary completed successfully","No"
"Exporting","Data warehouse export","3/11/2019 6:55:32 am","3/11/2019 6:56:25 am","Completed","Partial export of applications, licenses, installations summary completed successfully","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 6:40:21 am","3/11/2019 6:40:23 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 6:40:22 am","3/11/2019 6:40:23 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 6:40:14 am","3/11/2019 6:40:21 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 6:40:20 am","3/11/2019 6:40:21 am","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","3/11/2019 6:36:24 am","3/11/2019 6:38:00 am","Completed","Partial export of applications, licenses, installations summary completed successfully","No"
"Exporting","Data warehouse export","3/11/2019 6:36:30 am","3/11/2019 6:38:00 am","Completed","Partial export of applications, licenses, installations summary completed successfully","Yes"
"FNMPDataWarehouse","Data warehouse export","3/11/2019 6:21:22 am","3/11/2019 6:22:25 am","Completed","Partial export of applications, licenses, installations summary completed successfully","No"
"Exporting","Data warehouse export","3/11/2019 6:21:29 am","3/11/2019 6:22:24 am","Completed","Partial export of applications, licenses, installations summary completed successfully","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 6:10:52 am","3/11/2019 6:11:37 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 6:10:57 am","3/11/2019 6:11:33 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 6:10:18 am","3/11/2019 6:10:48 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 6:10:31 am","3/11/2019 6:10:42 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 5:40:21 am","3/11/2019 5:40:33 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 5:40:22 am","3/11/2019 5:40:32 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 5:40:03 am","3/11/2019 5:40:19 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 5:40:12 am","3/11/2019 5:40:17 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 5:10:39 am","3/11/2019 5:10:44 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 5:10:42 am","3/11/2019 5:10:43 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 5:10:02 am","3/11/2019 5:10:34 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 5:10:17 am","3/11/2019 5:10:28 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 4:39:54 am","3/11/2019 4:39:56 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 4:39:55 am","3/11/2019 4:39:56 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 4:39:47 am","3/11/2019 4:39:54 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 4:39:53 am","3/11/2019 4:39:54 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 4:09:47 am","3/11/2019 4:09:48 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 4:09:47 am","3/11/2019 4:09:48 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 4:09:39 am","3/11/2019 4:09:46 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 4:09:45 am","3/11/2019 4:09:46 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 3:39:43 am","3/11/2019 3:39:48 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 3:39:43 am","3/11/2019 3:39:48 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 3:39:30 am","3/11/2019 3:39:43 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 3:39:40 am","3/11/2019 3:39:42 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 3:09:29 am","3/11/2019 3:09:31 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 3:09:30 am","3/11/2019 3:09:31 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 3:09:22 am","3/11/2019 3:09:29 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 3:09:28 am","3/11/2019 3:09:29 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 2:39:32 am","3/11/2019 2:39:33 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 2:39:32 am","3/11/2019 2:39:33 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 2:39:24 am","3/11/2019 2:39:31 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 2:39:30 am","3/11/2019 2:39:31 am","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","3/11/2019 2:24:33 am","3/11/2019 2:25:01 am","Completed","Partial export of applications, licenses summary completed successfully","No"
"Exporting","Data warehouse export","3/11/2019 2:24:39 am","3/11/2019 2:25:01 am","Completed","Partial export of applications, licenses summary completed successfully","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 2:10:13 am","3/11/2019 2:10:16 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 2:10:13 am","3/11/2019 2:10:16 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 2:09:22 am","3/11/2019 2:10:13 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 2:09:28 am","3/11/2019 2:10:13 am","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","3/11/2019 2:09:22 am","3/11/2019 2:12:32 am","Completed","Partial export of applications, licenses, installations, assets, discovery, inventory, contracts, purchases summary completed successfully","No"
"Exporting","Data warehouse export","3/11/2019 2:09:28 am","3/11/2019 2:12:32 am","Completed","Partial export of applications, licenses, installations, assets, discovery, inventory, contracts, purchases summary completed successfully","Yes"
"Reconciliation","Reconciliation","3/11/2019 2:05:03 am","3/11/2019 7:25:06 am","Completed","License reconcile completed","No"
"Import inventory devices","Reconciliation","3/11/2019 2:05:04 am","3/11/2019 7:08:06 am","Completed","Inventory device import completed for the following sources:
FlexNet Manager Suite","Yes"
"Reconcile licenses","Reconciliation","3/11/2019 7:08:06 am","3/11/2019 7:25:06 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","Inventory import","3/11/2019 2:00:06 am","3/11/2019 7:10:26 am","Completed","License reconcile completed","No"
"Import into staging","Inventory import","3/11/2019 2:00:13 am","3/11/2019 2:05:03 am","Completed","Devices read from source: 5597","Yes"
"Import inventory devices","Inventory import","3/11/2019 2:05:04 am","3/11/2019 7:08:06 am","Completed","Devices read from source: 5597
Imported: 5579
Black listed: 0
Merged with other data sources: 47
Number of devices ignored due to license limit: 0","Yes"
"Reconcile software licenses","Inventory import","3/11/2019 7:08:06 am","3/11/2019 7:10:26 am","Completed","License reconcile completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 1:39:26 am","3/11/2019 1:39:27 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 1:39:26 am","3/11/2019 1:39:27 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 1:39:19 am","3/11/2019 1:39:26 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 1:39:25 am","3/11/2019 1:39:26 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 1:09:29 am","3/11/2019 1:09:30 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 1:09:29 am","3/11/2019 1:09:30 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 1:09:21 am","3/11/2019 1:09:28 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 1:09:27 am","3/11/2019 1:09:28 am","Completed","Import completed","Yes"
"ARL Import","ARL import","3/11/2019 1:00:10 am","3/11/2019 2:13:30 am","Completed","ARL imported successfully","No"
"ARL importing","ARL import","3/11/2019 1:00:11 am","3/11/2019 2:13:30 am","Completed","ARL imported successfully","No"
"ARL Import","ARL import","3/11/2019 1:00:05 am","3/11/2019 1:00:08 am","Completed","ARL imported successfully","No"
"ARL importing","ARL import","3/11/2019 1:00:06 am","3/11/2019 1:00:08 am","Completed","ARL imported successfully","No"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 12:39:51 am","3/11/2019 12:40:58 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 12:39:59 am","3/11/2019 12:40:56 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 12:39:10 am","3/11/2019 12:39:47 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 12:39:28 am","3/11/2019 12:39:43 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/11/2019 12:09:08 am","3/11/2019 12:09:09 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/11/2019 12:09:08 am","3/11/2019 12:09:09 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/11/2019 12:09:00 am","3/11/2019 12:09:07 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/11/2019 12:09:06 am","3/11/2019 12:09:07 am","Completed","Import completed","Yes"
"SCCM1","Inventory import","3/11/2019 12:00:24 am","3/11/2019 1:04:45 am","Completed","Devices read from source to staging: 70000. Inventory data will be updated by the next reconciliation with inventory updates (Import inventory devices task)","No"
"Gathering inventory data","Inventory import","3/11/2019 12:00:25 am","3/11/2019 12:25:31 am","Completed","Inventory data saved as I[S=SCCM1]_20190311002329.zip
File size: 551.48 MB","Yes"
"Uploading to Application Server","Inventory import","3/11/2019 12:25:31 am","3/11/2019 12:26:00 am","Completed","Uploaded: I[S=SCCM1]_20190311002329.zip successfully
File size: 551.48 MB","No"
"Import into staging","Inventory import","3/11/2019 12:27:09 am","3/11/2019 1:04:45 am","Completed","Devices read from source to staging: 70000. Inventory data will be updated by the next reconciliation with inventory updates (Import inventory devices task)","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/10/2019 11:39:09 pm","3/10/2019 11:39:11 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/10/2019 11:39:10 pm","3/10/2019 11:39:11 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/10/2019 11:39:02 pm","3/10/2019 11:39:09 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/10/2019 11:39:08 pm","3/10/2019 11:39:09 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/10/2019 11:09:07 pm","3/10/2019 11:09:08 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/10/2019 11:09:07 pm","3/10/2019 11:09:08 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/10/2019 11:09:00 pm","3/10/2019 11:09:07 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/10/2019 11:09:06 pm","3/10/2019 11:09:07 pm","Completed","Import completed","Yes"
"VMWare Introspection","Discovery and inventory rule","3/10/2019 11:07:26 pm","3/10/2019 11:13:53 pm","Timed out","Beacon(s) with schedule pending: 0
Total beacon(s) reported: 2
  Beacon(s) in progress: 0
  Beacon(s) completed: 0
  Beacon(s) completed with error: 1
  Beacon(s) timed out: 1","No"
"vwn04584 - Parent Beacon","Discovery and inventory rule","3/10/2019 11:11:31 pm","3/10/2019 11:13:53 pm","Completed with errors","","No"
"Performing discovery","Discovery and inventory rule","3/10/2019 11:12:03 pm","3/10/2019 11:13:53 pm","Completed","Total discovered devices: 74
Oracle database servers discovered: -
Oracle virtual servers discovered: -
VMware virtual servers discovered: 58
Microsoft Hyper-V servers discovered: -
Microsoft SQL servers discovered: -
XenDesktop devices discovered: -","Yes"
"Gathering VMware inventory","Discovery and inventory rule","3/10/2019 11:11:31 pm","3/10/2019 11:13:53 pm","Completed with errors","VMware inventory gathering has completed with errors.
Devices discovered: 58
Devices skipped: 0
Devices inventoried: 1
Devices failed to be inventoried: 57","Yes"
"uwn2008 - Child Beacon","Discovery and inventory rule","3/10/2019 11:07:26 pm","","Timed out","","No"
"Performing discovery","Discovery and inventory rule","3/10/2019 11:07:26 pm","","Timed out","This task is marked as ‘Timed out’ because it did not complete in the expected time.","Yes"
"Gathering VMware inventory","Discovery and inventory rule","3/10/2019 11:07:14 pm","3/10/2019 11:07:27 pm","Completed","Devices discovered: 72
Devices skipped: 72
Devices inventoried: 0
Devices failed to be inventoried: 0","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/10/2019 10:39:04 pm","3/10/2019 10:39:05 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/10/2019 10:39:04 pm","3/10/2019 10:39:05 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/10/2019 10:38:57 pm","3/10/2019 10:39:04 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/10/2019 10:39:03 pm","3/10/2019 10:39:04 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/10/2019 10:09:06 pm","3/10/2019 10:09:07 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/10/2019 10:09:06 pm","3/10/2019 10:09:07 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/10/2019 10:08:59 pm","3/10/2019 10:09:06 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/10/2019 10:09:05 pm","3/10/2019 10:09:06 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/10/2019 9:39:03 pm","3/10/2019 9:39:04 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/10/2019 9:39:03 pm","3/10/2019 9:39:04 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/10/2019 9:38:56 pm","3/10/2019 9:39:03 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/10/2019 9:39:02 pm","3/10/2019 9:39:03 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/10/2019 9:09:06 pm","3/10/2019 9:09:07 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/10/2019 9:09:06 pm","3/10/2019 9:09:07 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/10/2019 9:08:58 pm","3/10/2019 9:09:05 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/10/2019 9:09:04 pm","3/10/2019 9:09:05 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/10/2019 8:39:03 pm","3/10/2019 8:39:04 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/10/2019 8:39:03 pm","3/10/2019 8:39:04 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/10/2019 8:38:55 pm","3/10/2019 8:39:02 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/10/2019 8:39:01 pm","3/10/2019 8:39:02 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/10/2019 8:09:00 pm","3/10/2019 8:09:01 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/10/2019 8:09:00 pm","3/10/2019 8:09:01 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/10/2019 8:08:53 pm","3/10/2019 8:09:00 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/10/2019 8:08:59 pm","3/10/2019 8:08:59 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/10/2019 7:39:02 pm","3/10/2019 7:39:03 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/10/2019 7:39:02 pm","3/10/2019 7:39:03 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/10/2019 7:38:55 pm","3/10/2019 7:39:02 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/10/2019 7:39:01 pm","3/10/2019 7:39:02 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/10/2019 7:08:59 pm","3/10/2019 7:09:00 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/10/2019 7:08:59 pm","3/10/2019 7:09:00 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/10/2019 7:08:52 pm","3/10/2019 7:08:59 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/10/2019 7:08:58 pm","3/10/2019 7:08:59 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/10/2019 6:38:57 pm","3/10/2019 6:38:58 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/10/2019 6:38:58 pm","3/10/2019 6:38:58 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/10/2019 6:38:50 pm","3/10/2019 6:38:57 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/10/2019 6:38:56 pm","3/10/2019 6:38:57 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/10/2019 6:09:00 pm","3/10/2019 6:09:01 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/10/2019 6:09:00 pm","3/10/2019 6:09:01 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","3/10/2019 6:08:52 pm","3/10/2019 6:08:59 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","3/10/2019 6:08:58 pm","3/10/2019 6:08:59 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","3/10/2019 5:38:57 pm","3/10/2019 5:38:58 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","3/10/2019 5:38:57 pm","3/10/2019 5:38:58 pm","Completed","License reconcile completed","Yes"
